,date,text
64,"<span class=""artDateTime"">05.08.2020</span>","<div class=""artDesc"">. Senere tirsdag sagde sundhedsminister <b>Magnus</b> <b>Heunicke</b>, at regeringen vil lytte til seruminstituttets sundhedsfaglige anbefalinger. Efter planen skal genåbningen af Danmark gå ind i fase fire i august. Det betyder bl.a., at natklubber </div>"
65,"<span class=""artDateTime"">05.08.2020</span>","<div class=""artDesc""> med at skabe store ødelæggelser på USA's østkyst, hvor fire er døde, og millioner står uden strøm. DET SKRIVER DE ANDRE MEDIER OM Avisen Danmark: Sundhedsminister <b>Magnus</b> <b>Heunicke</b> vil ikke genåbne diskoteker og natklubber, hvis myndighederne fraråder </div>"
66,"<span class=""artDateTime"">04.08.2020</span>","<div class=""artDesc""> at træffe beslutningen. Regeringen vil lytte Tirsdag aften meddelte sundhedsminister <b>Magnus</b> <b>Heunicke</b> så, at regeringen lytter: »Vi kommer ikke til at lægge noget frem (for partierne i Folketinget, red.), som er sundhedsfagligt uforsvarligt,« sagde </div>"
67,"<span class=""artDateTime"">04.08.2020</span>","<div class=""artDesc"">Store dele af den planlagte fase fire-genåbning hænger nu i en tynd tråd. Sådan lød det tirsdag aften fra sundhedsminister <b>Magnus</b> <b>Heunicke</b>, efter at direktøren for Statens Serum Institut, Kåre Mølbak, tidligere tirsdag havde meddelt </div>"
68,"<span class=""artDateTime"">04.08.2020</span>","<div class=""artDesc"">- og Ældreministeriet er ikke vendt tilbage på Ritzaus henvendelse. Hos Socialdemokratiets pressetjeneste er meldingen, at det netop er sundhedsminister <b>Magnus</b> <b>Heunicke</b> (S), der skal kommentere Mølbaks udmelding. Dansk Folkeparti vil have fremrykket mødet </div>"
69,"<span class=""artDateTime"">02.08.2020</span>","<div class=""artDesc"">, at sundhedsminister <b>Magnus</b> <b>Heunicke</b> inden topmødet havde erklæret sin klare støtte til et sundhedsmæssigt løft. »Overordnet er regeringen således positiv indstillet over for, at sundhedsområdet prioriteres højere i EU. Det indebærer både en bedre tværgående </div>"
70,"<span class=""artDateTime"">01.08.2020</span>","<div class=""artDesc"">, at partiet endnu ikke har lagt sig fast på, om mundbind skal være gratis, eller om visse borgere skal have et tilskud til at købe dem. Ifølge sundhedsordføreren har SF flere gange rejst problemstillingen over for sundhedsminister <b>Magnus</b> <b>Heunicke</b> (S </div>"
71,"<span class=""artDateTime"">31.07.2020</span>","<div class=""artDesc""> klip fra dokumentaren allerede har været vist flere steder, har der allerede været talrige reaktioner fra politikere. Dansk Folkeparti har allerede krævet flere uafhængige tilsyn på landets plejehjem, og sundheds- og ældreminister <b>Magnus</b> </div>"
72,"<span class=""artDateTime"">31.07.2020</span>","<div class=""artDesc""> fra besparelser på udlændinge. DF vil have et såkaldt politisk kryds mellem pension og udlændinge. Det skriver Jyllands-Posten. Minister frygter at flere ældre oplever svigt på plejehjem Sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> (S) frygter </div>"
73,"<span class=""artDateTime"">31.07.2020</span>","<div class=""artDesc"">- og ældreminister <b>Magnus</b> <b>Heunicke</b> (S) siger i et skriftligt svar til avisen, at der allerede er klare arbejdsgange i forhold til enkeltudbrud. Han melder, at der arbejdes på et såkaldt nationalt varslingssystem. - Her vil myndighederne på baggrund </div>"
74,"<span class=""artDateTime"">30.07.2020</span>","<div class=""artDesc"">Sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> (S) frygter, at der er flere plejehjemsbeboere, som får en mangelfuld behandling på plejehjem i Danmark. Det siger han, efter at en TV2-dokumentar om forhold på to danske plejehjem er blevet vist </div>"
75,"<span class=""artDateTime"">30.07.2020</span>","<div class=""artDesc""> sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> (S) og også over for statsministeren. Denne plejehjemssag har udviklet sig så voldsomt, at vi mener, at vi skal have toppen af regeringen på banen. Han håber, at statsministeren vil overføre </div>"
76,"<span class=""artDateTime"">30.07.2020</span>","<div class=""artDesc"">, skal dog holdes op mod, at der i alt er foretaget næsten 1,5 millioner coronatest. I øjeblikket foretages der omkring 20.000 test dagligt. Alligevel udtaler sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> (S) sig positivt om tallene. Flere end 800 </div>"
77,"<span class=""artDateTime"">30.07.2020</span>","<div class=""artDesc""> det bl.a., hvordan en demenssyg mand på et plejehjem i Randers går rundt med afføring i bukserne i næsten ti timer, før han får skiftet ble og bukser. Optagelserne fik sent onsdag aften sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> til at kalde </div>"
78,"<span class=""artDateTime"">28.07.2020</span>","<div class=""artDesc"">. Sundhedsminister <b>Magnus</b> <b>Heunicke</b> (S) har tidligere fortalt, at han ser appen som et vigtigt supplement til den manuelle opsporing, som myndighederne står for. - Med appen har vi tilføjet et digitalt værktøj, der kan hjælpe med at bryde de skjulte </div>"
79,"<span class=""artDateTime"">28.07.2020</span>","<div class=""artDesc"">? Selv har både statsminister Mette Frederiksen og sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> henvist til, at regeringen rådførte sig med »en bred kreds af myndigheder«. Under et samråd i juni udtalte statsministeren, at hun havde lænet sig op ad Statens </div>"
80,"<span class=""artDateTime"">28.07.2020</span>","<div class=""artDesc"">- og ældreminister <b>Magnus</b> <b>Heunicke</b> (S), FOA-formand Mona Striib og en række eksperter på området. </div>"
81,"<span class=""artDateTime"">28.07.2020</span>","<div class=""artDesc"">, om lovgivningen beskytter børn godt nok. Meldingen kommer efter sagen om en 13-årig pige, der blev udsat for seksuelle overgreb af sin lærer. B.T.: Sundhedsminister <b>Magnus</b> <b>Heunicke</b> svarede vildledende, da han på et pressemøde gav indtryk af </div>"
82,"<span class=""artDateTime"">27.07.2020</span>","<div class=""artDesc""> var den kommunale konklusion »meget tilfredsstillende«, mens det uafhængige tilsyn fandt »større problemer af betydning for den fornødne kvalitet«. Sundhedsminister <b>Magnus</b> <b>Heunicke</b> kalder afdækningen »foruroligende« og vil nu overveje at styrke tilsynet </div>"
83,"<span class=""artDateTime"">27.07.2020</span>","<div class=""artDesc"">, hvor han opfordrer hende og sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> til at handle her og nu for at få rettet op på forholdene i ældreplejen. Kravet om at styrke det uafhængige tilsyn nævnes også i brevet. </div>"
84,"<span class=""artDateTime"">26.07.2020</span>","<div class=""artDesc"">, hvorvidt vi kan stole på kommunetilsynenes uafhængighed, når vi ser så store diskrepanser,« siger Troels Yde Toftdahl, velfærdspolitisk fagchef i DE. Sundhedsminister <b>Magnus</b> <b>Heunicke</b> vil kigge på hele ældreområdet og bede kommuneforeningen KL </div>"
85,"<span class=""artDateTime"">26.07.2020</span>","<div class=""artDesc""> af det og gør noget ved det,« siger Helle Linnet, der betoner, at der er op mod 1.000 plejehjem i Danmark. »På hovedparten får man en rigtig god og omsorgsfuld pleje,« mener hun. Sundhedsminister <b>Magnus</b> <b>Heunicke</b> kalder det »foruroligende«, at der er så </div>"
86,"<span class=""artDateTime"">24.07.2020</span>","<div class=""artDesc""> de ældre på et tidspunkt, og derfor synes jeg, det er bekymringsværdigt, når smitten stadig er så høj mellem folk, siger han. Sundhedsminister <b>Magnus</b> <b>Heunicke</b> (S) advarede onsdag aften på Facebook mod, at folk slækker på at efterleve </div>"
